,0,1,2,3
0,1,314,It was nice produt. I like it's design a lot.  It's easy to carry. And.   Looked stylish.READ MORE,5
1,1,439,awesome sound....very pretty to see this nd the sound quality was too good I wish to take this product loved this product READ MORE,5
2,1,588,awesome bass sound quality very good bettary long life  and I have a purchase Rs.999  only really grateful product don't forget to likeREAD MORE,5
3,1,1169,"Awsome sound powerful bass battery backup is also excellent and i loved bass the most and I'm huge lover of music and the most bass design and build is also very nice,and this was my first time when i bought and headphone or and electronics item and glad to say on the first time only i loved it.it's a very excellent product.         Thanks boat for making such a nice product keep making such and the most Thanks to flipkart team for delivering such a nice product by risking there lif...READ MORE",5
4,1,1185,"First of all, I want to talk about sound quality. The sound quality is best for this price segment. Bass is really punchy, mids are also good, but on high volumes, the sound cracks a bit,  otherwise it is really nice. 9/10.Then come the build quality. The build quality too is amazing. You cant get better headphones than these. They are sturdy and very light, made out of very good quality plastic. 9.5/10.The thing I didn't like was that they are a bit tight. Sometimes, they become uncomforta...READ MORE",5
5,1,2077,Good looking Super Fine clear Sound and power full bassREAD MORE,5
6,1,2487,"I am using this headphone since 6 months, great bass I am a songs lover and like to listen all types of song, this headphone is great for all kind of music from trance or edm to hindi old song and great battery life tooo great buy bole to Paisa VasooooolREAD MORE",5
7,1,2900,Sound quality is good. But cannot wear it for more than 10 minutes. It's sooo uncomfortable. My ears start paining because of its small size. I feel like somebody is pressing my ears from both the sides with great force. Boat needs to improve its design.READ MORE,1
8,1,3662,"Reson for 1 star : Sounds for alerts for connection, low battery, incoming calls etc. plays at 10 times of volume then the volume that we usually hear anything on headphones. These notification plays at sound level that everyone in the room will hear it. Imagine it playing when u r wearing this headphones. It's like a blast in ur ears out of nowhere. When it plays like that loud when I'm wearing it, I wish to throw it away.Reason why I hvnt thrown it away yet : decent sound quality and ba...READ MORE",1
9,1,3922,"sound: its relay rock when I compare with other headphones I used HP, LG, Sony...     battery: thanks to the designer awesome battery backup  if u hearing songs on ful day the battery back for 2 days. ..  negative; the mic was not clear when we drive its not audible & also when we speaking calls the sound not louder it head phones...if this s/b improved it headphones relay wonderful product.... for 1499 worth no doubt please go with this....also customer service response is good rate 4/5....I...READ MORE",4
10,1,5379,Good product..sound quality is good but bass is not so heavy as they are saying. I saw that this product has got 4.3 ratings then I placed order. Now truly saying that I am some of dissatisfied with this product. Bluetooth connectivity is good but I there is a huge lack can be shown when some music tracks are playing through Bluetooth. No issues for aux mode. Built quality is not so good. The main thing I was searching for a bass heavy headphones and they are saying that this is bass heavy so...READ MORE,4
11,1,5461,"Best budget headset at this price range @999, so buy it during offers period. sound quality is awesome, bass is extremely good and battery backup is 8 hours and charging time is 1 and half hours. MAIN CONS : 1)Tight ear cuffs ,2) sweating in just 20 minutes and we want to adjust it in regular intervals, and  mike quality is worst , the other person is hearing the more surrounding noise. 3)overall rating is 8.5/10 and  for bass 9/10, sound quality 9/10, built quality 7/10, battery backup 9/...READ MORE",5
12,1,5885,"Superb Sound Quality, good design very comfortable and good bettary life. Overall Amazing product from #boat READ MORE",5
13,1,6630,awesome product at this prize and what a deal by phone pe app i get this only 700 rs. good sound quality go for itREAD MORE,5
14,1,7563,"today i get this product.. it's really very good product in this price range.. connectivity, sound quality, battery backup and built quality everything is very good..very good Ekart delivery service also.. Thank u flipkart.. guys go for it.READ MORE",5
15,1,9246,Nice headphones grt sound quality I'm very much impressed connectivity iz fast and battery backup iz fabulous...... But headband iz lill tight u can't wear it for long time otherwise grt product fully satisfied.........READ MORE,5
16,1,10140,1. Sound quality is best......     2. Look was super stylish headphone..... 3.. Packaging is superb..      4. Right tym to delevired... Thanku flipkart.....READ MORE,5
17,1,10146,Wooowwww superb product with good effect and sound clarity Bluetooth r working good with system and Mobile phone... Headphones with charger cable and also with connecting wire and 1yr warranty woooww thank you READ MORE,5
18,1,10246,"To me this headphone is better choice in this budget. It's sound quality just awesome. Battery backup is perfect approx 9 to 10 hours. But, build quality is average. In one word it is a better choice.READ MORE",5
19,1,10335,The best device in this range. Bass quality is best. Simply loved this device. Got delivered in just 2 days.Light weight. White and neon colour is simply wow. Perfectly rests on the ears and comfortable as well.Go for it. Thanks BOAT READ MORE,5
20,1,10610,light weight and easy to carry anywhere and attractive model awesome service from flipkart love itREAD MORE,5
21,1,10944,Headphones are very beautiful and classy.. very light weight actually they worth it.bass is awesome also with good sound quality....READ MORE,5
